alert,alt_baro,alt_geom,baro_rate,category,dbFlags,emergency,flight,gs,gva,hex,lat,lon,messages,mlat,nac_p,nac_v,nav_altitude_mcp,nav_heading,nav_qnh,nic,nic_baro,r,rc,rssi,sda,seen,seen_pos,sil,sil_type,spi,squawk,t,tisb,track,type,version,Closest Airport Name,Closest Airport Code,Closest Distance (nm)
0.0,5375,5725.0,-192.0,A2,1,none,C2318   ,199.5,2.0,ae4bf2,30.671402,-88.699463,7287220,[],10.0,1.0,5504.0,86.48,1020.0,8.0,1.0,2318,186.0,-12.1,3.0,0.1,0.66,3.0,perhour,0.0,5262.0,CN35,[],54.8,adsb_icao,2.0,Keesler Air Force Base,KBIX,19.49
0.0,2225,2150.0,-256.0,A2,1,none,C2309   ,185.2,2.0,ae2707,41.829235,-70.421532,10426940,[],10.0,1.0,2016.0,218.67,1013.6,8.0,1.0,2309,186.0,-17.0,3.0,0.2,0.16,3.0,perhour,0.0,161.0,CN35,[],87.52,adsb_icao,2.0,Cape Cod Gateway Airport,KHYA,11.5
0.0,1125,1175.0,,A7,1,none,C6586   ,125.0,2.0,ae26ac,30.338186,-88.145233,1487907,[],11.0,1.0,,,,9.0,1.0,6586,75.0,-26.4,2.0,0.2,0.22,3.0,perhour,0.0,1200.0,AS65,[],339.39,adsb_icao,2.0,Mobile Downtown Airport,KBFM,17.73
0.0,2050,2200.0,,A7,1,none,C6590   ,133.2,2.0,ae26b0,44.156342,-124.059402,1057788,[],11.0,1.0,,,,10.0,1.0,6590,25.0,-4.6,2.0,0.0,0.0,3.0,perhour,0.0,1200.0,AS65,[],190.38,adsb_icao,2.0,Newport Municipal Airport,KONP,25.44
0.0,400,525.0,,A7,1,none,C6036   ,127.4,2.0,ae2913,27.753479,-82.725182,4193996,[],11.0,1.0,,,,10.0,1.0,6036,25.0,-4.6,2.0,0.2,0.24,3.0,perhour,0.0,115.0,H60,[],15.02,adsb_icao,2.0,St. Petersburg Clearwater International Airport,KPIE,9.59
0.0,850,825.0,768.0,A7,1,none,C6560   ,54.0,2.0,ae2692,42.598434,-82.83741,7160264,[],11.0,1.0,,,,10.0,1.0,6560,25.0,-9.2,2.0,0.2,0.61,3.0,perhour,0.0,4427.0,AS65,['baro_rate'],182.12,adsb_icao,2.0,Selfridge Air National Guard Base Airport,KMTC,0.9
0.0,5350,5700.0,-64.0,A2,1,none,C2307   ,160.4,2.0,ae223e,25.526321,-78.776955,7353680,[],10.0,1.0,5504.0,319.92,1018.4,8.0,1.0,2307,186.0,-23.9,3.0,0.0,0.02,3.0,perhour,0.0,1277.0,CN35,[],320.06,adsb_icao,2.0,Fort Lauderdale Hollywood International Airport,KFLL,81.35
0.0,9275,9650.0,-1088.0,A2,1,none,C2705   ,212.4,2.0,ae2730,34.092068,-96.399818,791814,[],10.0,1.0,6016.0,357.89,1019.2,8.0,1.0,2705,186.0,-11.0,2.0,0.1,0.89,3.0,perhour,0.0,1315.0,C27J,[],281.68,adsb_icao,2.0,Durant Regional Airport - Eaker Field,KDUA,9.13
0.0,20000,20425.0,,A3,1,none,C2006   ,318.0,2.0,ae10ec,59.327042,-149.835022,2319711,[],10.0,2.0,,260.16,1012.8,10.0,1.0,2006,25.0,-25.3,2.0,0.6,1.9,3.0,perhour,0.0,5303.0,C30J,[],221.81,adsb_icao,2.0,Seward Airport,PAWD,49.96
0.0,3125,3125.0,,A7,1,none,        ,128.1,2.0,ae4a4c,58.203564,-135.02179,34724,[],9.0,1.0,,,,9.0,1.0,6045,75.0,-23.9,2.0,0.3,0.33,3.0,perhour,0.0,1200.0,H60,[],280.34,adsb_icao,2.0,Juneau International Airport,PAJN,16.8
0.0,925,1000.0,0.0,A7,1,none,C6030   ,100.7,2.0,ae290d,36.269348,-76.10321,3522234,[],10.0,1.0,,,,9.0,1.0,6030,75.0,-6.2,2.0,0.3,0.32,3.0,perhour,0.0,1200.0,H60,[],242.16,adsb_icao,2.0,Elizabeth City Regional Airport & Coast Guard Air Station,KECG,3.5
0.0,400,200.0,,A7,1,none,C6055   ,108.8,2.0,ae6ce9,33.921684,-118.822289,11715976,[],11.0,1.0,,,,9.0,1.0,6055,75.0,-19.7,2.0,0.1,0.08,3.0,perhour,0.0,1200.0,H60,[],306.03,adsb_icao,2.0,Point Mugu Naval Air Station (Naval Base Ventura Co),KNTD,19.06
0.0,400,450.0,,A7,1,none,C6534   ,98.2,2.0,ae267c,29.424179,-95.140739,6681596,[],11.0,1.0,,,,9.0,1.0,6534,75.0,-7.8,2.0,0.0,0.0,3.0,perhour,0.0,1200.0,AS65,[],356.5,adsb_icao,2.0,Ellington Airport,KEFD,11.0
0.0,1100,1225.0,,A7,1,none,C6598   ,128.2,2.0,ae26b8,30.629242,-88.026878,2045371,[],11.0,1.0,,,,10.0,1.0,6598,25.0,-17.6,2.0,0.6,0.61,3.0,perhour,0.0,751.0,AS65,[],286.31,adsb_icao,2.0,Mobile Downtown Airport,KBFM,2.14
0.0,4500,4375.0,,A7,1,none,C6034   ,130.3,2.0,ae2911,57.913193,-155.794189,55149,[],11.0,1.0,,,,9.0,1.0,6034,75.0,-14.6,2.0,0.2,0.21,3.0,perhour,0.0,5553.0,H60,[],104.68,adsb_icao,2.0,Egegik Airport,PAII,52.97
0.0,1325,,0.0,,1,,C2311   ,181.0,,ae2709,25.919373,-79.924332,8540189,"['callsign', 'gs', 'track', 'baro_rate', 'squawk', 'lat', 'lon', 'nic', 'rc']",,,,,,0.0,,2311,0.0,-8.9,,0.2,2.35,,,0.0,4424.0,CN35,[],269.0,mlat,,Fort Lauderdale Hollywood International Airport,KFLL,15.38
0.0,ground,,,A2,1,none,C2709   ,13.8,,ae4ae1,27.912071,-82.693497,15943935,[],10.0,1.0,,,,8.0,,2709,186.0,-2.3,2.0,0.3,0.28,3.0,perhour,0.0,151.0,C27J,[],,adsb_icao,2.0,St. Petersburg Clearwater International Airport,KPIE,0.34
0.0,150,150.0,,A7,1,none,C6502   ,65.1,2.0,ae265c,39.41478,-74.512505,3766144,[],11.0,1.0,,,,9.0,1.0,6502,75.0,-16.3,2.0,0.1,0.05,3.0,perhour,0.0,4431.0,AS65,[],79.38,adsb_icao,2.0,Atlantic City International Airport,KACY,3.95
0.0,575,700.0,,A7,1,none,C6011   ,66.2,2.0,ae27fc,41.655407,-70.519257,6322673,[],11.0,1.0,,,,9.0,1.0,6011,75.0,-4.9,2.0,0.0,0.19,3.0,perhour,0.0,1200.0,H60,[],165.12,adsb_icao,2.0,Cape Cod Gateway Airport,KHYA,10.77
0.0,150,125.0,,A7,1,none,C6567   ,50.2,2.0,ae2699,37.63269,-122.394081,11885496,[],11.0,1.0,,,,9.0,1.0,6567,75.0,-6.2,2.0,0.0,0.54,3.0,perhour,0.0,1277.0,AS65,[],314.19,adsb_icao,2.0,San Francisco International Airport,KSFO,1.2
1.0,16800,16675.0,,A3,1,none,C2005   ,337.1,2.0,ae10eb,57.636017,-153.567581,1743201,[],10.0,2.0,,60.47,1015.2,10.0,1.0,2005,25.0,-27.1,2.0,4.3,9.78,3.0,perhour,0.0,1200.0,C30J,[],69.15,adsb_icao,2.0,Kodiak Airport,PADQ,35.24
