alert,alt_baro,alt_geom,baro_rate,category,dbFlags,emergency,flight,gs,gva,hex,lat,lon,messages,mlat,nac_p,nac_v,nav_altitude_mcp,nav_heading,nav_qnh,nic,nic_baro,r,rc,rssi,sda,seen,seen_pos,sil,sil_type,spi,squawk,t,tisb,track,type,version,Closest Airport Name,Closest Airport Code,Closest Distance (nm),Matched Base
0.0,5825,6050.0,-192.0,A2,1.0,none,C2312   ,182.3,2.0,ae270a,39.650711,-84.242088,11723235.0,[],10.0,1.0,6016.0,234.84,1019.2,8.0,1.0,2312.0,186.0,-6.9,3.0,0.0,0.0,3.0,perhour,0.0,4042.0,CN35,[],31.77,adsb_icao,2.0,Miami Valley Hospital Heliport,00OI,6.2,False
0.0,-25,75.0,,A7,1.0,none,C6516   ,26.0,2.0,ae266a,32.009411,-81.125679,4261679.0,[],11.0,1.0,,,,10.0,1.0,6516.0,25.0,-16.7,2.0,0.1,0.1,3.0,perhour,0.0,1200.0,AS65,[],272.2,adsb_icao,2.0,Hunter Army Air Field,KSVN,1.02,True
0.0,300,400.0,,A7,1.0,none,C6584   ,63.6,2.0,ae26aa,29.54624,-95.153557,5791014.0,[],11.0,1.0,,,,10.0,1.0,6584.0,25.0,-5.2,2.0,0.0,0.28,3.0,perhour,0.0,446.0,AS65,[],36.69,adsb_icao,2.0,Ellington Airport,KEFD,3.66,True
0.0,4025,4050.0,,A7,1.0,none,C6059   ,135.1,2.0,ae6ced,43.251358,-83.514404,2412893.0,[],11.0,1.0,,,,9.0,1.0,6059.0,75.0,-7.1,2.0,0.0,0.42,3.0,perhour,0.0,5756.0,H60,[],315.3,adsb_icao,2.0,Selfridge Air National Guard Base Airport,KMTC,48.54,True
0.0,1050,1075.0,64.0,A7,1.0,none,C6527   ,120.4,2.0,ae2675,42.507294,-82.906769,5804265.0,[],11.0,1.0,,,,9.0,1.0,6527.0,75.0,-6.5,2.0,0.2,0.41,3.0,perhour,0.0,1277.0,AS65,['baro_rate'],204.01,adsb_icao,2.0,Selfridge Air National Guard Base Airport,KMTC,7.08,True
0.0,375,500.0,,A7,1.0,none,C6579   ,116.0,2.0,ae26a5,25.907763,-80.226448,5340262.0,[],11.0,1.0,,,,10.0,1.0,6579.0,25.0,-17.0,2.0,0.0,0.03,3.0,perhour,0.0,1277.0,AS65,[],269.51,adsb_icao,2.0,Miami-Opa Locka Executive Airport,KOPF,2.81,True
0.0,1000,950.0,,A7,1.0,none,C6052   ,121.5,2.0,ae4e04,36.563896,-76.200356,2777397.0,[],11.0,1.0,,,,10.0,1.0,6052.0,25.0,-29.0,2.0,5.3,14.37,3.0,perhour,0.0,1200.0,H60,[],174.81,adsb_icao,2.0,Elizabeth City Regional Airport & Coast Guard Air Station,KECG,18.22,True
0.0,400,350.0,-192.0,A7,1.0,none,C6553   ,85.5,2.0,ae268b,27.782003,-97.429291,4468236.0,[],11.0,1.0,,,,9.0,1.0,6553.0,75.0,-13.6,2.0,0.8,1.07,3.0,perhour,0.0,4430.0,AS65,"['callsign', 'baro_rate']",245.83,adsb_icao,2.0,Corpus Christi International Airport,KCRP,3.89,True
0.0,325,425.0,,A7,1.0,none,C6525   ,96.0,2.0,ae2673,30.125862,-81.86528,2719457.0,[],11.0,1.0,,,,10.0,1.0,6525.0,25.0,-13.1,2.0,0.0,0.0,3.0,perhour,0.0,1200.0,AS65,[],270.0,adsb_icao,2.0,Cecil Airport,KVQQ,5.59,True
0.0,2050,2200.0,,A7,1.0,none,C6038   ,113.5,2.0,ae2915,18.016415,-66.680489,857020.0,[],11.0,1.0,,,,10.0,1.0,6038.0,25.0,-8.5,2.0,1.9,3.08,3.0,perhour,0.0,4421.0,H60,[],67.73,adsb_icao,2.0,Ocean Reef Club Airport,07FA,875.56,False
0.0,400,550.0,,A7,1.0,none,C6565   ,77.9,2.0,ae2697,32.037994,-81.126862,4251144.0,[],11.0,1.0,,,,10.0,1.0,6565.0,25.0,-8.7,2.0,0.1,0.29,3.0,perhour,0.0,1200.0,AS65,[],261.14,adsb_icao,2.0,Hunter Army Air Field,KSVN,1.93,True
0.0,750,800.0,,A7,1.0,none,C6606   ,84.1,2.0,ae26bd,38.817955,-76.904541,5894437.0,[],11.0,1.0,,,,10.0,1.0,6606.0,25.0,-4.9,2.0,0.3,0.33,3.0,perhour,0.0,5147.0,AS65,[],272.73,adsb_icao,2.0,Ronald Reagan Washington National Airport,KDCA,6.57,True
0.0,7400,,0.0,,1.0,,,236.0,,ae223f,27.081736,-97.179573,8650697.0,"['gs', 'track', 'baro_rate', 'squawk', 'lat', 'lon', 'nic', 'rc']",,,,,,0.0,,2308.0,0.0,-21.8,,1.1,19.03,,,0.0,4422.0,CN35,[],336.0,mlat,,Corpus Christi International Airport,KCRP,44.64,True
0.0,1875,2000.0,,A7,1.0,none,C6041   ,121.0,2.0,ae2918,29.970657,-90.074699,4306983.0,[],11.0,1.0,,,,9.0,1.0,6041.0,75.0,-2.7,2.0,0.3,0.34,3.0,perhour,0.0,423.0,H60,[],178.58,adsb_icao,2.0,New Orleans NAS JRB/Alvin Callender Field,KNBG,8.94,True
0.0,4925,5175.0,,A7,1.0,none,C6029   ,154.4,2.0,ae290c,36.037537,-76.677933,2590214.0,[],10.0,1.0,,,,10.0,1.0,6029.0,25.0,-15.7,2.0,0.7,0.66,3.0,perhour,0.0,2675.0,H60,[],60.95,adsb_icao,2.0,Elizabeth City Regional Airport & Coast Guard Air Station,KECG,27.87,True
0.0,2775,3075.0,,A3,1.0,none,C2008   ,222.0,2.0,ae57d2,36.546997,-76.54081,8751633.0,[],10.0,2.0,,283.36,1022.4,10.0,1.0,2008.0,25.0,-21.5,2.0,0.0,0.3,3.0,perhour,0.0,5343.0,C30J,[],134.64,adsb_icao,2.0,Elizabeth City Regional Airport & Coast Guard Air Station,KECG,24.68,True
0.0,525,600.0,,A7,1.0,none,C6570   ,121.5,2.0,ae269c,29.525944,-95.16185,5471087.0,[],11.0,1.0,,,,10.0,1.0,6570.0,25.0,-9.4,2.0,0.1,0.08,3.0,perhour,0.0,1200.0,AS65,[],337.23,adsb_icao,2.0,Ellington Airport,KEFD,4.87,True
0.0,1350,1525.0,,A7,1.0,none,C6585   ,144.0,2.0,ae26ab,30.429062,-88.365135,1926207.0,[],11.0,1.0,,,,10.0,1.0,6585.0,25.0,-26.5,2.0,0.2,0.23,3.0,perhour,0.0,1200.0,AS65,[],11.62,adsb_icao,2.0,Mobile Regional Airport,KMOB,16.92,True
0.0,-25,25.0,0.0,A7,1.0,,C6595   ,20.0,,ae26b5,25.08337,-80.145264,2781208.0,[],10.0,1.0,,,,10.0,,6595.0,25.0,-29.9,,0.9,7.21,2.0,perhour,0.0,1200.0,AS65,[],143.13,adsb_icao,0.0,Miami-Opa Locka Executive Airport,KOPF,49.79,True
0.0,0,250.0,,A7,1.0,none,C6063   ,92.2,2.0,af8434,45.580647,-123.963272,2547276.0,[],11.0,1.0,,,,10.0,1.0,6063.0,25.0,-22.7,2.0,0.0,0.34,3.0,perhour,0.0,1200.0,H60,[],356.27,adsb_icao,2.0,Astoria Regional Airport,KAST,34.83,True
0.0,1300,1325.0,-256.0,A7,1.0,none,C6559   ,74.0,2.0,ae2691,37.581528,-122.438538,13411642.0,[],11.0,1.0,,,,9.0,1.0,6559.0,75.0,-9.3,2.0,0.0,0.04,3.0,perhour,0.0,1200.0,AS65,['baro_rate'],108.92,adsb_icao,2.0,San Francisco International Airport,KSFO,3.81,True
0.0,1050,925.0,,A7,1.0,none,C6531   ,116.8,2.0,ae2679,37.534149,-122.371101,11185444.0,[],11.0,1.0,,,,9.0,1.0,6531.0,75.0,-7.1,2.0,0.2,0.49,3.0,perhour,0.0,322.0,AS65,[],318.12,adsb_icao,2.0,San Francisco International Airport,KSFO,5.14,True
0.0,1250,1375.0,,A7,1.0,none,C6512   ,143.4,2.0,ae2666,30.671448,-88.411987,2538924.0,[],11.0,1.0,,,,9.0,1.0,6512.0,75.0,-25.8,2.0,0.2,0.18,3.0,perhour,0.0,361.0,AS65,[],86.0,adsb_icao,2.0,Mobile Regional Airport,KMOB,8.83,True
0.0,475,375.0,,A7,1.0,none,C6056   ,108.3,2.0,ae6ceb,32.519852,-117.373367,10901797.0,[],11.0,1.0,,,,10.0,1.0,6056.0,25.0,-18.3,2.0,0.1,0.12,3.0,perhour,0.0,1200.0,H60,[],64.86,adsb_icao,2.0,San Diego International Airport,KSAN,15.82,True
0.0,1675,,-568.0,,1.0,,C2304   ,237.0,,ae223b,25.777624,-79.782585,5621265.0,"['gs', 'track', 'baro_rate', 'lat', 'lon', 'nic', 'rc']",,,,,,0.0,,2304.0,0.0,-10.4,,0.1,0.99,,,0.0,4427.0,CN35,[],302.0,mlat,,Miami-Opa Locka Executive Airport,KOPF,27.93,True
0.0,375,175.0,-128.0,A7,1.0,none,C6569   ,56.0,2.0,ae269b,32.71463,-117.176933,5039952.0,[],11.0,1.0,,,,9.0,1.0,6569.0,75.0,-7.3,2.0,0.1,0.22,3.0,perhour,0.0,1200.0,AS65,['baro_rate'],61.14,adsb_icao,2.0,San Diego International Airport,KSAN,1.31,True
0.0,725,950.0,,A7,1.0,none,C6561   ,128.8,2.0,ae2693,32.634979,-80.110825,3976106.0,[],11.0,1.0,,,,10.0,1.0,6561.0,25.0,-11.3,2.0,0.1,0.09,3.0,perhour,0.0,1200.0,AS65,[],38.38,adsb_icao,2.0,Charleston Executive Airport,KJZI,6.54,True
0.0,575,650.0,,A7,1.0,none,C6608   ,56.4,2.0,ae26bf,40.948746,-124.088638,4432572.0,[],11.0,1.0,,,,10.0,1.0,6608.0,25.0,-8.2,2.0,0.3,0.35,3.0,perhour,0.0,4422.0,AS65,[],334.8,adsb_icao,2.0,California Redwood Coast-Humboldt County Airport,KACV,1.99,True
0.0,1300,1200.0,,A7,1.0,none,C6592   ,84.6,2.0,ae26b2,48.15239,-123.412033,5991248.0,[],11.0,1.0,,,,8.0,1.0,6592.0,186.0,-4.4,2.0,0.3,0.27,3.0,perhour,0.0,1200.0,AS65,[],57.06,adsb_icao,2.0,Port Angeles Cgas Airport,KNOW,0.66,True
0.0,750,775.0,,A7,1.0,none,C6547   ,97.1,2.0,ae2686,40.991821,-124.076843,4029047.0,[],11.0,1.0,,,,9.0,1.0,6547.0,75.0,-8.6,2.0,0.9,0.95,3.0,perhour,0.0,4420.0,AS65,[],214.51,adsb_icao,2.0,,,,
0.0,1300,1150.0,,A7,1.0,none,C6588   ,100.8,2.0,ae26ae,42.121536,-87.704735,5721535.0,[],11.0,1.0,,,,9.0,1.0,6588.0,75.0,-11.0,2.0,0.0,0.17,3.0,perhour,0.0,1277.0,AS65,[],337.25,adsb_icao,2.0,California Redwood Coast-Humboldt County Airport,KACV,1.68,True
0.0,5550,,-921.0,A0,1.0,,C2707   ,198.0,,ae4adf,36.259235,-76.333153,9817449.0,"['gs', 'track', 'baro_rate', 'squawk', 'lat', 'lon', 'nic', 'rc']",,,,,,0.0,,2707.0,0.0,-11.0,,0.3,1.46,,,0.0,226.0,C27J,[],249.0,mlat,0.0,Waukegan National Airport,KUGN,19.44,True
0.0,950,1000.0,,A7,1.0,none,C6039   ,113.8,2.0,ae2916,28.116531,-82.819962,3434279.0,[],11.0,1.0,,,,9.0,1.0,6039.0,75.0,-15.2,2.0,0.3,2.15,3.0,perhour,0.0,1200.0,H60,[],192.69,adsb_icao,2.0,Elizabeth City Regional Airport & Coast Guard Air Station,KECG,7.69,True
0.0,0,0.0,,A7,1.0,,C6517   ,45.2,2.0,ae266b,43.983948,-124.12532,917238.0,[],11.0,1.0,,,,8.0,1.0,6517.0,186.0,-10.4,2.0,2.3,2.3,3.0,perhour,0.0,,AS65,[],24.86,adsb_icao,2.0,St. Petersburg Clearwater International Airport,KPIE,14.21,True
0.0,200,250.0,,A7,1.0,none,C6575   ,60.9,2.0,ae26a1,39.374084,-74.392906,3982958.0,[],11.0,1.0,,,,10.0,1.0,6575.0,25.0,-9.3,2.0,0.3,1.77,3.0,perhour,0.0,4434.0,AS65,[],293.2,adsb_icao,2.0,Newport Municipal Airport,KONP,35.9,True
0.0,425,325.0,,A7,1.0,,C6572   ,87.3,,ae269e,30.695057,-88.248611,2651635.0,[],,1.0,,,,10.0,,6572.0,25.0,-27.1,,57.3,60.08,,,0.0,,AS65,[],71.98,adsb_icao,2.0,Atlantic City International Airport,KACY,9.92,True
0.0,1400,1425.0,-64.0,A2,1.0,none,C2303   ,202.2,2.0,ae223a,18.637161,-66.227257,7490725.0,[],9.0,1.0,1504.0,267.89,1016.8,8.0,1.0,2303.0,186.0,-27.0,3.0,4.7,13.28,3.0,perhour,0.0,1277.0,CN35,[],267.73,adsb_icao,2.0,Mobile Regional Airport,KMOB,0.38,True
0.0,-25,-25.0,-62.0,A7,1.0,,C6563   ,43.0,,ae2695,27.776594,-97.496254,4002851.0,[],,,,,,0.0,,6563.0,0.0,-49.5,,0.8,0.78,,,0.0,,AS65,[],180.0,other,2.0,Ocean Reef Club Airport,07FA,878.68,False
0.0,250,175.0,,A7,1.0,none,C6506   ,57.7,2.0,ae2660,39.351059,-74.397743,3483608.0,[],10.0,1.0,,,,8.0,1.0,6506.0,186.0,-16.4,2.0,0.1,1.22,3.0,perhour,0.0,4446.0,AS65,[],27.9,adsb_icao,2.0,Corpus Christi International Airport,KCRP,0.45,True
0.0,,800.0,,A3,1.0,none,C2016   ,131.1,2.0,ae5def,36.263123,-76.240028,12789010.0,[],10.0,2.0,,76.64,1019.2,10.0,1.0,2016.0,25.0,-2.9,2.0,9.4,39.24,3.0,perhour,0.0,1200.0,C30J,[],92.62,adsb_icao,2.0,Atlantic City International Airport,KACY,10.51,True
,ground,,,A7,1.0,,C6530   ,8.2,,ae2678,32.023613,-81.139626,3805436.0,[],11.0,1.0,,,,9.0,,6530.0,75.0,-15.5,2.0,0.9,0.92,3.0,perhour,,,AS65,[],,adsb_icao,2.0,Elizabeth City Regional Airport & Coast Guard Air Station,KECG,3.18,True
0.0,7750,8050.0,,A7,1.0,none,C6562   ,97.7,2.0,ae2694,39.327621,-120.149353,12229399.0,[],11.0,1.0,,,,10.0,1.0,6562.0,25.0,-16.0,2.0,0.7,2.87,3.0,perhour,0.0,1200.0,AS65,[],70.27,adsb_icao,2.0,Hunter Army Air Field,KSVN,0.87,True
0.0,9875,,0.0,,1.0,,,169.0,,ae223d,27.32114,-97.462578,6508573.0,"['gs', 'track', 'baro_rate', 'squawk', 'lat', 'lon', 'nic', 'rc']",,,,,,0.0,,2306.0,0.0,-15.3,,0.9,1.61,,,0.0,4554.0,CN35,[],176.0,mlat,,Tahoe Forest Hospital Heliport,64CA,2.38,False
0.0,225,350.0,,A7,1.0,none,C6603   ,122.7,2.0,ae26ba,41.055119,-124.155998,4286975.0,[],11.0,1.0,,,,9.0,1.0,6603.0,75.0,-25.9,2.0,0.1,0.14,3.0,perhour,0.0,4421.0,AS65,[],173.92,adsb_icao,2.0,Corpus Christi International Airport,KCRP,26.96,True
0.0,3875,4075.0,0.0,A2,1.0,none,C2706   ,220.3,2.0,ae2731,28.02389,-82.837181,15165745.0,[],10.0,1.0,4000.0,31.64,1017.6,8.0,1.0,2706.0,186.0,-17.4,2.0,0.0,0.33,3.0,perhour,0.0,23.0,C27J,[],353.75,adsb_icao,2.0,California Redwood Coast-Humboldt County Airport,KACV,5.09,True
0.0,625,925.0,-192.0,A7,1.0,none,C6507   ,76.9,2.0,ae2661,21.31422,-158.081512,3779614.0,[],11.0,1.0,,,,10.0,1.0,6507.0,25.0,-8.9,2.0,0.5,0.51,3.0,perhour,0.0,1200.0,AS65,['baro_rate'],242.1,adsb_icao,2.0,St. Petersburg Clearwater International Airport,KPIE,10.47,True
0.0,ground,-50.0,,A3,1.0,none,C101    ,12.2,,ae10c1,38.847004,-77.039261,10974986.0,[],10.0,1.0,,,,8.0,,1.0,186.0,-12.4,2.0,0.8,0.76,3.0,perhour,0.0,2256.0,GLF5,[],,adsb_icao,2.0,Kalaeloa Airport,PHJR,0.76,True
0.0,450,175.0,0.0,A7,1.0,none,C6023   ,22.0,2.0,ae2907,41.661598,-70.52533,6494771.0,[],11.0,1.0,,,,9.0,1.0,6023.0,75.0,-12.2,2.0,8.0,20.5,3.0,perhour,0.0,1200.0,H60,[],329.93,adsb_icao,2.0,Ronald Reagan Washington National Airport,KDCA,0.31,True
0.0,-75,-75.0,0.0,A3,1.0,none,C102    ,56.1,2.0,ae109a,38.850403,-77.037628,9324116.0,[],10.0,2.0,2720.0,,1016.8,8.0,1.0,2.0,186.0,-6.5,2.0,1.8,8.56,3.0,perhour,0.0,1071.0,GLF5,[],175.91,adsb_icao,2.0,Mansfield Municipal Airport,1B9,36.32,True
0.0,1350,1500.0,64.0,A2,1.0,none,C2316   ,210.1,2.0,ae4bf0,25.900085,-80.040321,8142832.0,[],10.0,1.0,1504.0,87.19,1019.2,8.0,1.0,2316.0,186.0,-11.6,3.0,0.0,0.21,3.0,perhour,0.0,4426.0,CN35,[],313.65,adsb_icao,2.0,Ronald Reagan Washington National Airport,KDCA,0.1,True
0.0,2875,2925.0,-64.0,A2,1.0,none,C2302   ,198.9,2.0,ae2238,41.929413,-70.240654,8831711.0,[],10.0,1.0,3008.0,259.45,1018.4,8.0,1.0,2302.0,186.0,-13.0,3.0,0.1,0.14,3.0,perhour,0.0,5327.0,CN35,[],260.16,adsb_icao,2.0,Miami-Opa Locka Executive Airport,KOPF,12.89,True
0.0,375,450.0,0.0,A7,1.0,none,C6573   ,131.0,2.0,ae269f,26.092436,-80.476753,6109261.0,[],11.0,1.0,,,,10.0,1.0,6573.0,25.0,-8.6,2.0,0.3,0.29,3.0,perhour,0.0,4423.0,AS65,['baro_rate'],159.9,adsb_icao,2.0,Mansfield Municipal Airport,1B9,43.01,True
0.0,1250,1450.0,-64.0,A2,1.0,none,C2310   ,171.8,2.0,ae2708,30.183634,-88.122765,9804521.0,[],10.0,1.0,1504.0,353.67,1023.2,8.0,1.0,2310.0,186.0,-16.1,3.0,1.1,13.13,3.0,perhour,0.0,4422.0,CN35,[],351.63,adsb_icao,2.0,Miami-Opa Locka Executive Airport,KOPF,15.43,True
0.0,-150,-25.0,,A7,1.0,none,C6597   ,8.3,2.0,ae26b7,25.792099,-79.86364,3231658.0,[],11.0,1.0,,,,10.0,1.0,6597.0,25.0,-26.3,2.0,0.3,0.29,3.0,perhour,0.0,1200.0,AS65,[],165.96,adsb_icao,2.0,Mobile Regional Airport,KMOB,31.01,True
0.0,1025,1050.0,,A7,1.0,none,C6520   ,102.1,2.0,ae266e,12.235703,-68.899101,3505613.0,[],11.0,1.0,,,,10.0,1.0,6520.0,25.0,-6.7,2.0,0.2,0.22,3.0,perhour,0.0,1732.0,AS65,[],165.83,adsb_icao,2.0,Miami-Opa Locka Executive Airport,KOPF,23.48,True
0.0,2800,3000.0,,A3,1.0,none,C2017   ,185.6,2.0,ae5df0,36.189789,-76.070992,9186650.0,[],10.0,2.0,,130.08,1020.0,10.0,1.0,2017.0,25.0,-12.8,2.0,0.6,0.91,3.0,perhour,0.0,5536.0,C30J,[],115.87,adsb_icao,2.0,Canal Heliport,47FA,1009.05,False
0.0,5500,5775.0,-1216.0,A3,1.0,none,C2013   ,251.2,2.0,ae5dec,36.348541,-76.524124,13505900.0,[],10.0,1.0,,,,8.0,1.0,2013.0,186.0,-8.1,2.0,0.0,0.47,3.0,perhour,0.0,2146.0,C30J,[],107.14,adsb_icao,2.0,Elizabeth City Regional Airport & Coast Guard Air Station,KECG,6.58,True
0.0,125,300.0,,A7,1.0,none,C6587   ,124.0,2.0,ae26ad,48.152191,-122.945671,4615748.0,[],11.0,1.0,,,,9.0,1.0,6587.0,75.0,-16.2,2.0,14.3,14.28,3.0,perhour,0.0,1200.0,AS65,[],270.0,adsb_icao,2.0,Elizabeth City Regional Airport & Coast Guard Air Station,KECG,17.75,True
0.0,150,75.0,384.0,A7,1.0,none,C6040   ,116.6,2.0,ae2917,32.716507,-117.182755,3462383.0,[],11.0,1.0,,,,10.0,1.0,6040.0,25.0,-4.5,2.0,0.1,0.49,3.0,perhour,0.0,1200.0,H60,['baro_rate'],84.09,adsb_icao,2.0,Port Angeles Cgas Airport,KNOW,18.83,True
0.0,-150,-50.0,-64.0,A7,1.0,,C6046   ,5.4,,ae4dfe,46.156082,-123.885651,1306631.0,[],0.0,0.0,,,,0.0,,6046.0,0.0,-10.1,,40.1,40.13,0.0,perhour,0.0,,H60,"['callsign', 'altitude', 'alt_geom', 'gs', 'track', 'baro_rate', 'lat', 'lon', 'nic', 'rc', 'nac_p', 'nac_v', 'sil', 'sil_type']",201.8,tisb_icao,,San Diego International Airport,KSAN,1.09,True
0.0,75,225.0,-2176.0,A7,1.0,none,C6060   ,79.0,2.0,ae6cee,36.260834,-76.169533,1621354.0,[],11.0,1.0,,,,10.0,1.0,6060.0,25.0,-6.6,2.0,3.2,6.55,3.0,perhour,0.0,1200.0,H60,[],270.73,adsb_icao,2.0,Astoria Regional Airport,KAST,0.3,True
0.0,800,825.0,-640.0,A2,1.0,none,C2315   ,110.1,2.0,ae4bef,30.739426,-88.277084,7087732.0,[],10.0,1.0,1504.0,144.14,1016.8,8.0,1.0,2315.0,186.0,-27.8,3.0,0.6,0.92,3.0,perhour,0.0,1065.0,CN35,[],182.6,adsb_icao,2.0,Elizabeth City Regional Airport & Coast Guard Air Station,KECG,0.25,True
0.0,1025,,-1231.0,,1.0,,C2314   ,165.0,,ae4bee,41.679317,-70.49015,7365025.0,"['callsign', 'gs', 'track', 'baro_rate', 'squawk', 'lat', 'lon', 'nic', 'rc']",,,,,,0.0,,2314.0,0.0,-6.1,,0.2,3.03,,,0.0,4422.0,CN35,[],272.0,mlat,,Mobile Regional Airport,KMOB,3.39,True
0.0,275,350.0,,A7,1.0,none,6025    ,128.6,2.0,ae2909,27.712034,-82.740891,2471096.0,[],11.0,1.0,,,,10.0,1.0,6025.0,25.0,-2.9,2.0,0.6,0.83,3.0,perhour,0.0,1200.0,H60,[],354.64,adsb_icao,2.0,Mansfield Municipal Airport,1B9,37.07,True
0.0,275,325.0,,A7,1.0,none,C6518   ,68.2,2.0,ae266c,30.212128,-81.876152,3263393.0,[],11.0,1.0,,,,10.0,1.0,6518.0,25.0,-4.2,2.0,0.4,0.39,3.0,perhour,0.0,1200.0,AS65,[],355.79,adsb_icao,2.0,St. Petersburg Clearwater International Airport,KPIE,12.19,True
0.0,-100,0.0,,A7,1.0,,C6539   ,47.9,2.0,ae2681,30.039555,-81.686264,704219.0,[],11.0,1.0,,,,10.0,1.0,6539.0,25.0,-15.6,2.0,1.6,1.57,3.0,perhour,0.0,,AS65,[],246.64,adsb_icao,2.0,Cecil Airport,KVQQ,0.39,True
0.0,75,225.0,,A7,1.0,none,C6503   ,68.6,2.0,ae265d,30.033409,-81.675163,541275.0,[],11.0,1.0,,,,10.0,1.0,6503.0,25.0,-16.2,2.0,0.3,0.31,3.0,perhour,0.0,1200.0,AS65,[],352.46,adsb_icao,2.0,Cecil Airport,KVQQ,14.6,True
0.0,325,175.0,384.0,A7,1.0,none,C6026   ,62.1,2.0,ae290a,32.565125,-117.248734,5071006.0,[],10.0,1.0,,,,8.0,1.0,6026.0,186.0,-5.7,2.0,0.4,2.0,3.0,perhour,0.0,1200.0,H60,['baro_rate'],213.18,adsb_icao,2.0,,,,
0.0,25000,23975.0,,A3,1.0,none,C2003   ,340.9,2.0,ae10e9,59.51387,-151.847351,1995456.0,[],10.0,2.0,,169.45,1012.8,10.0,1.0,2003.0,25.0,-27.7,2.0,0.1,0.17,3.0,perhour,0.0,4774.0,C30J,[],186.06,adsb_icao,2.0,Cecil Airport,KVQQ,15.26,True
0.0,2300,2425.0,,A7,1.0,none,C6033   ,138.0,2.0,ae2910,18.123949,-66.625702,1053790.0,[],10.0,1.0,,,,9.0,1.0,6033.0,75.0,-13.2,2.0,38.1,38.11,3.0,perhour,0.0,4420.0,H60,[],336.96,adsb_icao,2.0,San Diego International Airport,KSAN,10.52,True
